series,year,period,value,date
employment_finance,2022,M01,8934,2022-01-01
employment_finance,2022,M02,8976,2022-02-01
employment_finance,2022,M03,9002,2022-03-01
employment_finance,2022,M04,9037,2022-04-01
employment_finance,2022,M05,9049,2022-05-01
employment_finance,2022,M06,9059,2022-06-01
employment_finance,2022,M07,9073,2022-07-01
employment_finance,2022,M08,9092,2022-08-01
employment_finance,2022,M09,9097,2022-09-01
employment_finance,2022,M10,9122,2022-10-01
employment_finance,2022,M11,9136,2022-11-01
employment_finance,2022,M12,9146,2022-12-01
employment_finance,2023,M01,9144,2023-01-01
employment_finance,2023,M02,9152,2023-02-01
employment_finance,2023,M03,9150,2023-03-01
employment_finance,2023,M04,9180,2023-04-01
employment_finance,2023,M05,9175,2023-05-01
employment_finance,2023,M06,9182,2023-06-01
employment_finance,2023,M07,9193,2023-07-01
employment_finance,2023,M08,9193,2023-08-01
employment_finance,2023,M09,9186,2023-09-01
employment_finance,2023,M10,9179,2023-10-01
employment_finance,2023,M11,9172,2023-11-01
employment_finance,2023,M12,9176,2023-12-01
employment_finance,2024,M01,9165,2024-01-01
employment_finance,2024,M02,9151,2024-02-01
employment_finance,2024,M03,9149,2024-03-01
employment_finance,2024,M04,9144,2024-04-01
employment_finance,2024,M05,9147,2024-05-01
employment_finance,2024,M06,9159,2024-06-01
employment_finance,2024,M07,9154,2024-07-01
employment_finance,2024,M08,9162,2024-08-01
employment_finance,2024,M09,9162,2024-09-01
employment_finance,2024,M10,9164,2024-10-01
employment_finance,2024,M11,9173,2024-11-01
employment_finance,2024,M12,9179,2024-12-01
employment_finance,2025,M01,9187,2025-01-01
employment_finance,2025,M02,9199,2025-02-01
employment_finance,2025,M03,9201,2025-03-01
employment_finance,2025,M04,9205,2025-04-01
employment_finance,2025,M05,9211,2025-05-01
employment_finance,2025,M06,9204,2025-06-01
employment_finance,2025,M07,9204,2025-07-01
employment_finance,2025,M08,9185,2025-08-01
employment_finance,2025,M09,9189,2025-09-01
employment_finance,2025,M10,9184,2025-10-01
employment_finance,2025,M11,9185,2025-11-01
employment_finance,2025,M12,9186,2025-12-01
employment_finance,2026,M01,9147,2026-01-01
employment_finance,2026,M02,9149,2026-02-01
employment_finance,2026,M03,9132,2026-03-01
employment_finance,2026,M04,9126,2026-04-01
employment_finance,2026,M05,9104,2026-05-01
employment_information,2022,M01,2984,2022-01-01
employment_information,2022,M02,2990,2022-02-01
employment_information,2022,M03,3018,2022-03-01
employment_information,2022,M04,3034,2022-04-01
employment_information,2022,M05,3057,2022-05-01
employment_information,2022,M06,3076,2022-06-01
employment_information,2022,M07,3094,2022-07-01
employment_information,2022,M08,3097,2022-08-01
employment_information,2022,M09,3095,2022-09-01
employment_information,2022,M10,3100,2022-10-01
employment_information,2022,M11,3115,2022-11-01
employment_information,2022,M12,3092,2022-12-01
employment_information,2023,M01,3061,2023-01-01
employment_information,2023,M02,3048,2023-02-01
employment_information,2023,M03,3049,2023-03-01
employment_information,2023,M04,3043,2023-04-01
employment_information,2023,M05,3034,2023-05-01
employment_information,2023,M06,3021,2023-06-01
employment_information,2023,M07,3001,2023-07-01
employment_information,2023,M08,2981,2023-08-01
employment_information,2023,M09,2975,2023-09-01
employment_information,2023,M10,2951,2023-10-01
employment_information,2023,M11,2962,2023-11-01
employment_information,2023,M12,2963,2023-12-01
employment_information,2024,M01,2963,2024-01-01
employment_information,2024,M02,2958,2024-02-01
employment_information,2024,M03,2951,2024-03-01
employment_information,2024,M04,2940,2024-04-01
employment_information,2024,M05,2930,2024-05-01
employment_information,2024,M06,2930,2024-06-01
employment_information,2024,M07,2917,2024-07-01
employment_information,2024,M08,2909,2024-08-01
employment_information,2024,M09,2903,2024-09-01
employment_information,2024,M10,2887,2024-10-01
employment_information,2024,M11,2885,2024-11-01
employment_information,2024,M12,2895,2024-12-01
employment_information,2025,M01,2877,2025-01-01
employment_information,2025,M02,2876,2025-02-01
employment_information,2025,M03,2867,2025-03-01
employment_information,2025,M04,2865,2025-04-01
employment_information,2025,M05,2864,2025-05-01
employment_information,2025,M06,2863,2025-06-01
employment_information,2025,M07,2861,2025-07-01
employment_information,2025,M08,2860,2025-08-01
employment_information,2025,M09,2859,2025-09-01
employment_information,2025,M10,2853,2025-10-01
employment_information,2025,M11,2848,2025-11-01
employment_information,2025,M12,2842,2025-12-01
employment_information,2026,M01,2815,2026-01-01
employment_information,2026,M02,2792,2026-02-01
employment_information,2026,M03,2793,2026-03-01
employment_information,2026,M04,2785,2026-04-01
employment_information,2026,M05,2783,2026-05-01
employment_professional_services,2022,M01,22183,2022-01-01
employment_professional_services,2022,M02,22372,2022-02-01
employment_professional_services,2022,M03,22483,2022-03-01
employment_professional_services,2022,M04,22468,2022-04-01
employment_professional_services,2022,M05,22503,2022-05-01
employment_professional_services,2022,M06,22564,2022-06-01
employment_professional_services,2022,M07,22658,2022-07-01
employment_professional_services,2022,M08,22697,2022-08-01
employment_professional_services,2022,M09,22744,2022-09-01
employment_professional_services,2022,M10,22783,2022-10-01
employment_professional_services,2022,M11,22792,2022-11-01
employment_professional_services,2022,M12,22774,2022-12-01
employment_professional_services,2023,M01,22791,2023-01-01
employment_professional_services,2023,M02,22837,2023-02-01
employment_professional_services,2023,M03,22832,2023-03-01
employment_professional_services,2023,M04,22837,2023-04-01
employment_professional_services,2023,M05,22850,2023-05-01
employment_professional_services,2023,M06,22826,2023-06-01
employment_professional_services,2023,M07,22779,2023-07-01
employment_professional_services,2023,M08,22768,2023-08-01
employment_professional_services,2023,M09,22743,2023-09-01
employment_professional_services,2023,M10,22715,2023-10-01
employment_professional_services,2023,M11,22661,2023-11-01
employment_professional_services,2023,M12,22643,2023-12-01
employment_professional_services,2024,M01,22668,2024-01-01
employment_professional_services,2024,M02,22658,2024-02-01
employment_professional_services,2024,M03,22631,2024-03-01
employment_professional_services,2024,M04,22616,2024-04-01
employment_professional_services,2024,M05,22633,2024-05-01
employment_professional_services,2024,M06,22606,2024-06-01
employment_professional_services,2024,M07,22584,2024-07-01
employment_professional_services,2024,M08,22544,2024-08-01
employment_professional_services,2024,M09,22525,2024-09-01
employment_professional_services,2024,M10,22486,2024-10-01
employment_professional_services,2024,M11,22499,2024-11-01
employment_professional_services,2024,M12,22532,2024-12-01
employment_professional_services,2025,M01,22480,2025-01-01
employment_professional_services,2025,M02,22473,2025-02-01
employment_professional_services,2025,M03,22457,2025-03-01
employment_professional_services,2025,M04,22470,2025-04-01
employment_professional_services,2025,M05,22450,2025-05-01
employment_professional_services,2025,M06,22419,2025-06-01
employment_professional_services,2025,M07,22403,2025-07-01
employment_professional_services,2025,M08,22375,2025-08-01
employment_professional_services,2025,M09,22359,2025-09-01
employment_professional_services,2025,M10,22335,2025-10-01
employment_professional_services,2025,M11,22391,2025-11-01
employment_professional_services,2025,M12,22372,2025-12-01
employment_professional_services,2026,M01,22408,2026-01-01
employment_professional_services,2026,M02,22412,2026-02-01
employment_professional_services,2026,M03,22440,2026-03-01
employment_professional_services,2026,M04,22462,2026-04-01
employment_professional_services,2026,M05,22468,2026-05-01
employment_total_private,2022,M01,127957,2022-01-01
employment_total_private,2022,M02,128793,2022-02-01
employment_total_private,2022,M03,129282,2022-03-01
employment_total_private,2022,M04,129554,2022-04-01
employment_total_private,2022,M05,129799,2022-05-01
employment_total_private,2022,M06,130216,2022-06-01
employment_total_private,2022,M07,130766,2022-07-01
employment_total_private,2022,M08,131056,2022-08-01
employment_total_private,2022,M09,131285,2022-09-01
employment_total_private,2022,M10,131646,2022-10-01
employment_total_private,2022,M11,131863,2022-11-01
employment_total_private,2022,M12,131977,2022-12-01
employment_total_private,2023,M01,132292,2023-01-01
employment_total_private,2023,M02,132528,2023-02-01
employment_total_private,2023,M03,132554,2023-03-01
employment_total_private,2023,M04,132733,2023-04-01
employment_total_private,2023,M05,132933,2023-05-01
employment_total_private,2023,M06,133088,2023-06-01
employment_total_private,2023,M07,133206,2023-07-01
employment_total_private,2023,M08,133354,2023-08-01
employment_total_private,2023,M09,133469,2023-09-01
employment_total_private,2023,M10,133583,2023-10-01
employment_total_private,2023,M11,133667,2023-11-01
employment_total_private,2023,M12,133766,2023-12-01
employment_total_private,2024,M01,133892,2024-01-01
employment_total_private,2024,M02,134027,2024-02-01
employment_total_private,2024,M03,134170,2024-03-01
employment_total_private,2024,M04,134233,2024-04-01
employment_total_private,2024,M05,134278,2024-05-01
employment_total_private,2024,M06,134356,2024-06-01
employment_total_private,2024,M07,134348,2024-07-01
employment_total_private,2024,M08,134321,2024-08-01
employment_total_private,2024,M09,134463,2024-09-01
employment_total_private,2024,M10,134459,2024-10-01
employment_total_private,2024,M11,134575,2024-11-01
employment_total_private,2024,M12,134787,2024-12-01
employment_total_private,2025,M01,134711,2025-01-01
employment_total_private,2025,M02,134751,2025-02-01
employment_total_private,2025,M03,134818,2025-03-01
employment_total_private,2025,M04,134917,2025-04-01
employment_total_private,2025,M05,134937,2025-05-01
employment_total_private,2025,M06,134892,2025-06-01
employment_total_private,2025,M07,134957,2025-07-01
employment_total_private,2025,M08,134937,2025-08-01
employment_total_private,2025,M09,135005,2025-09-01
employment_total_private,2025,M10,135018,2025-10-01
employment_total_private,2025,M11,135090,2025-11-01
employment_total_private,2025,M12,135083,2025-12-01
employment_total_private,2026,M01,135263,2026-01-01
employment_total_private,2026,M02,135115,2026-02-01
employment_total_private,2026,M03,135317,2026-03-01
employment_total_private,2026,M04,135494,2026-04-01
employment_total_private,2026,M05,135614,2026-05-01
jolts_layoffs_information,2022,M01,59,2022-01-01
jolts_layoffs_information,2022,M02,12,2022-02-01
jolts_layoffs_information,2022,M03,18,2022-03-01
jolts_layoffs_information,2022,M04,33,2022-04-01
jolts_layoffs_information,2022,M05,29,2022-05-01
jolts_layoffs_information,2022,M06,33,2022-06-01
jolts_layoffs_information,2022,M07,40,2022-07-01
jolts_layoffs_information,2022,M08,58,2022-08-01
jolts_layoffs_information,2022,M09,23,2022-09-01
jolts_layoffs_information,2022,M10,49,2022-10-01
jolts_layoffs_information,2022,M11,42,2022-11-01
jolts_layoffs_information,2022,M12,45,2022-12-01
jolts_layoffs_information,2023,M01,46,2023-01-01
jolts_layoffs_information,2023,M02,47,2023-02-01
jolts_layoffs_information,2023,M03,47,2023-03-01
jolts_layoffs_information,2023,M04,31,2023-04-01
jolts_layoffs_information,2023,M05,39,2023-05-01
jolts_layoffs_information,2023,M06,30,2023-06-01
jolts_layoffs_information,2023,M07,49,2023-07-01
jolts_layoffs_information,2023,M08,27,2023-08-01
jolts_layoffs_information,2023,M09,17,2023-09-01
jolts_layoffs_information,2023,M10,18,2023-10-01
jolts_layoffs_information,2023,M11,27,2023-11-01
jolts_layoffs_information,2023,M12,27,2023-12-01
jolts_layoffs_information,2024,M01,17,2024-01-01
jolts_layoffs_information,2024,M02,28,2024-02-01
jolts_layoffs_information,2024,M03,37,2024-03-01
